"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Tawaf_Ablation_Model.nlogo"
"ablation_stage0_full_density_sweep"
"07/15/2026 15:33:42:001 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-15","15"
"[run number]","population","base-speed","speed-variation","homogeneous-radius?","avoidance?","density-speed?","sensing-radius","[step]","count turtles","sd-radius","lane-count 0.5 3","overlaps","mean-nn","edge-fraction 0.5","mean-speed"
"5","450","0.8","0.1","true","false","false","3","15","450","2.8982365688276586","4","236","0.5669883743659894","0.02666666666666667","0.8512379351699999"
"1","450","0.8","0.1","true","false","false","3","16","450","2.9654719941961414","3","248","0.5662049895277929","0.015555555555555555","0.8493513102584991"
"3","450","0.8","0.1","true","false","false","3","17","450","2.7998880577163257","3","237","0.5906723575860755","0.008888888888888889","0.8480931355245551"
"2","450","0.8","0.1","true","false","false","3","17","450","2.836370653876177","3","226","0.5758651972053273","0.011111111111111112","0.8502828740653359"
"5","450","0.8","0.1","true","false","false","3","16","450","2.863582584249726","4","242","0.5664123787460501","0.02666666666666667","0.8512379351700001"
"4","450","0.8","0.1","true","false","false","3","21","450","2.720113974859864","2","247","0.5624888136380658","0.006666666666666667","0.8492451859985694"
"1","450","0.8","0.1","true","false","false","3","17","450","2.9280999379006047","3","238","0.5703198959342476","0.015555555555555555","0.8493513102584983"
"5","450","0.8","0.1","true","false","false","3","17","450","2.8267603719572336","4","246","0.5639255753127307","0.022222222222222223","0.8512379351700006"
"3","450","0.8","0.1","true","false","false","3","18","450","2.7646480779227716","4","220","0.5923293677488444","0.008888888888888889","0.8480931355245557"
"5","450","0.8","0.1","true","false","false","3","18","450","2.791242153530318","5","258","0.5633707056124785","0.022222222222222223","0.8512379351699998"
"4","450","0.8","0.1","true","false","false","3","22","450","2.6836968502979484","3","254","0.5615353079590407","0.006666666666666667","0.8492451859985705"
"2","450","0.8","0.1","true","false","false","3","18","450","2.8003297598191876","1","233","0.5805675000940049","0.011111111111111112","0.8502828740653364"
"5","450","0.8","0.1","true","false","false","3","19","450","2.7544646200992826","5","251","0.557979500238909","0.017777777777777778","0.8512379351700001"
"3","450","0.8","0.1","true","false","false","3","19","450","2.728152801795331","4","256","0.5911215780272436","0.008888888888888889","0.8480931355245559"
"1","450","0.8","0.1","true","false","false","3","18","450","2.891922250026085","2","241","0.572835275498604","0.013333333333333334","0.8493513102584985"
"6","1050","0.8","0.1","true","false","false","3","5","1050","3.3328290192281655","2","846","0.38892298111788437","0.0380952380952381","0.8511160176141809"
"2","450","0.8","0.1","true","false","false","3","19","450","2.7642110639953144","2","225","0.5854984043428932","0.008888888888888889","0.850282874065335"
"5","450","0.8","0.1","true","false","false","3","20","450","2.7185064384280255","3","237","0.563777024067859","0.013333333333333334","0.8512379351700016"
"1","450","0.8","0.1","true","false","false","3","19","450","2.856421649594059","2","244","0.5724979714426944","0.013333333333333334","0.8493513102584993"
"2","450","0.8","0.1","true","false","false","3","20","450","2.7267599794893997","1","242","0.5889074887044934","0.006666666666666667","0.8502828740653356"
"5","450","0.8","0.1","true","false","false","3","21","450","2.6823299311122697","4","251","0.562885986015519","0.013333333333333334","0.8512379351700009"
"3","450","0.8","0.1","true","false","false","3","20","450","2.6923814225230487","1","247","0.5894019006308552","0.006666666666666667","0.8480931355245557"
"4","450","0.8","0.1","true","false","false","3","23","450","2.6488614061971614","3","249","0.5542978209012218","0.0044444444444444444","0.8492451859985705"
"1","450","0.8","0.1","true","false","false","3","20","450","2.820428731444931","4","249","0.5707497609724274","0.008888888888888889","0.8493513102584984"
"2","450","0.8","0.1","true","false","false","3","21","450","2.69024120156131","2","232","0.5893850217858655","0.006666666666666667","0.850282874065336"
"5","450","0.8","0.1","true","false","false","3","22","450","2.6471243215115394","5","253","0.5588764714098257","0.013333333333333334","0.8512379351699999"
"4","450","0.8","0.1","true","false","false","3","24","450","2.61463919022965","2","239","0.5495368635176868","0","0.8492451859985694"
"3","450","0.8","0.1","true","false","false","3","21","450","2.656675925845932","4","241","0.5825627347628866","0.006666666666666667","0.8480931355245565"
"2","450","0.8","0.1","true","false","false","3","22","450","2.6540541047349655","1","230","0.5898766329461368","0.006666666666666667","0.8502828740653359"
"1","450","0.8","0.1","true","false","false","3","21","450","2.7845358839318712","3","245","0.5671589961176875","0.008888888888888889","0.8493513102584983"
